Zaman damgası,Cinsiyet ,Sınıf,Şube (Zorunlu değil),Öğrenci Numarası (Zorunlu Değil),Aşağıdaki ifadelere ne kadar katılıyorsun? [Q01-Arabalarla (tamir/inceleme gibi) uğraşmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q02-Bulmaca çözmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q03-Tek başıma çalışmakta iyiyim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q04-Takım halinde çalışmayı severim.],"Aşağıdaki ifadelere ne kadar katılıyorsun? [Q05-Hedef koyan, azimli biriyim.]",Aşağıdaki ifadelere ne kadar katılıyorsun? [Q06-Eşyaları/dosyaları düzenlemeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q07-Bir şeyler yapmayı/inşa etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q08-Sanat ve müzik hakkında okumayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q09-Net kurallar ve talimatlar olmasını severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q10-İnsanları ikna etmeyi / etkilemeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q11-Deney yapmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q12-Birine bir şey öğretmeyi/eğitmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q13-İnsanların problemlerini çözmesine yardım etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q14-Hayvanlarla ilgilenmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q15-Bir gün masa başında çalışmak beni rahatsız etmez.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q16-Bir şeyler satmak/önerip satılmasına yardımcı olmak hoşuma gider.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q17-Yazı yazmayı (hikâye/şiir vb.) severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q18-Fen/bilim konularını severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q19-Yeni sorumluluklar almayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q20-İnsanların iyileşmesine/sağlığına yardımcı olmak ilgimi çeker.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q21-Bir şeyin nasıl çalıştığını anlamaya çalışmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q22-Parçaları birleştirip bir şey kurmayı/monte etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q23-Üretken biriyim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q24-Detaylara dikkat ederim.],"Aşağıdaki ifadelere ne kadar katılıyorsun? [Q25-Yazı yazma, dosyalama, bilgisayarda düzenleme gibi işleri severim.]",Aşağıdaki ifadelere ne kadar katılıyorsun? [Q26-Problemleri/durumları analiz etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q27-Enstrüman çalmayı veya şarkı söylemeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q28-Farklı kültürler hakkında öğrenmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q29-İleride kendi işimi/markamı kurma fikri hoşuma gider.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q30-Yemek yapmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q31-Tiyatro oyunlarında rol almayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q32-Pratik biriyim (işi yaparak öğrenmeyi severim).],"Aşağıdaki ifadelere ne kadar katılıyorsun? [Q33-Sayılarla, grafiklerle/tablolarla uğraşmayı severim.]",Aşağıdaki ifadelere ne kadar katılıyorsun? [Q34-Konular hakkında tartışmayı/fikir alışverişi yapmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q35-Yaptığım işlerin kaydını tutmada iyiyim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q36-Liderlik etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q37-Dışarıda/açık havada çalışmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q38-İleride ofiste çalışmak isterim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q39-Matematikte iyiyim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q40-İnsanlara yardım etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q41-Resim çizmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q42-Topluluk önünde konuşma yapmayı severim.],Bir kulüp seçmen gerekse hangisini seçerdin?
25.12.2025 18:44:40,Erkek,3,,,1 Hiç değil,2 Pek değil,1 Hiç değil,4 Evet,4 Evet,4 Evet,4 Evet,2 Pek değil,3 Kararsızım,2 Pek değil,1 Hiç değil,3 Kararsızım,4 Evet,4 Evet,4 Evet,2 Pek değil,2 Pek değil,2 Pek değil,2 Pek değil,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,1 Hiç değil,2 Pek değil,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,S: Gönüllülük/Yardımlaşma Kulübü
25.12.2025 18:47:30,Erkek,1,,,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,2 Pek değil,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,3 Kararsızım,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,"R: Robotik/Atölye (yapma–kurma, pratik işler)"
25.12.2025 18:58:24,Erkek,1,,102,1 Hiç değil,1 Hiç değil,5 Kesinlikle Evet,4 Evet,3 Kararsızım,1 Hiç değil,5 Kesinlikle Evet,1 Hiç değil,1 Hiç değil,1 Hiç değil,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,2 Pek değil,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,2 Pek değil,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,3 Kararsızım,C: Kütüphane/Düzen–Arşiv Kulübü (düzen–kayıt)
25.12.2025 19:45:26,Erkek,3,,,2 Pek değil,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,2 Pek değil,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,1 Hiç değil,2 Pek değil,3 Kararsızım,4 Evet,4 Evet,2 Pek değil,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,2 Pek değil,3 Kararsızım,3 Kararsızım,2 Pek değil,2 Pek değil,4 Evet,4 Evet,4 Evet,3 Kararsızım,5 Kesinlikle Evet,4 Evet,1 Hiç değil,4 Evet,4 Evet,4 Evet,4 Evet,S: Gönüllülük/Yardımlaşma Kulübü
25.12.2025 19:47:06,Erkek,4,D,141,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,4 Evet,3 Kararsızım,"R: Robotik/Atölye (yapma–kurma, pratik işler)"
25.12.2025 20:08:58,Kız,1,1/D,,1 Hiç değil,3 Kararsızım,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,2 Pek değil,4 Evet,4 Evet,3 Kararsızım,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,C: Kütüphane/Düzen–Arşiv Kulübü (düzen–kayıt)
25.12.2025 20:11:59,Erkek,3,,,1 Hiç değil,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,2 Pek değil,4 Evet,3 Kararsızım,5 Kesinlikle Evet,2 Pek değil,5 Kesinlikle Evet,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,1 Hiç değil,4 Evet,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,1 Hiç değil,2 Pek değil,3 Kararsızım,2 Pek değil,1 Hiç değil,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,4 Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,2 Pek değil,I: Bilim Deney Kulübü (deney–araştırma)
25.12.2025 20:19:10,Kız,3,A,173,1 Hiç değil,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,2 Pek değil,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,2 Pek değil,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,A: Müzik/Tiyatro/Görsel Sanatlar
25.12.2025 20:26:09,Kız,1,B,220,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,I: Bilim Deney Kulübü (deney–araştırma)
25.12.2025 20:26:26,Kız,2,C,580,2 Pek değil,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,A: Müzik/Tiyatro/Görsel Sanatlar
25.12.2025 20:35:32,Erkek,2,2 b,120,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,4 Evet,1 Hiç değil,2 Pek değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,2 Pek değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,3 Kararsızım,2 Pek değil,1 Hiç değil,1 Hiç değil,2 Pek değil,1 Hiç değil,2 Pek değil,I: Bilim Deney Kulübü (deney–araştırma)
25.12.2025 20:59:41,Erkek,1,1/B,243,2 Pek değil,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,3 Kararsızım,S: Gönüllülük/Yardımlaşma Kulübü
25.12.2025 21:06:04,Erkek,3,,,3 Kararsızım,2 Pek değil,2 Pek değil,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,2 Pek değil,3 Kararsızım,3 Kararsızım,1 Hiç değil,3 Kararsızım,3 Kararsızım,2 Pek değil,3 Kararsızım,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,3 Kararsızım,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,S: Gönüllülük/Yardımlaşma Kulübü
